1.22	3.276
0.874	2.512
0.862	2.505
0.692	2.692
0.654	2.559
0.658	2.647
0.569	2.74
0.58	2.715
0.44	2.934
0.496	2.84
0.682	2.549
0.721	2.64
0.772	2.688
0.46	3.19
0.529	2.848
0.556	2.803
0.766	2.602
0.768	2.585
0.73	2.694
0.723	2.721
0.522	2.809
0.443	2.647
0.463	2.821
0.529	2.684
0.477	2.793
0.48	2.786
0.475	2.762
0.719	2.606
0.688	2.691
0.73	2.639
0.719	2.603
0.813	2.596
0.799	3
0.452	2.895
0.483	3.02
0.502	3.036
0.538	2.77
0.538	2.77
0.536	2.773
0.567	2.833
0.478	3.215
0.428	2.741
0.552	2.792
0.531	2.763
0.706	2.513
