0.548	2.778
0.313	2.718
0.476	2.547
0.704	2.514
0.62	2.373
0.836	2.169
0.75	2.443
0.576	2.49
0.742	2.416
0.747	2.292
0.561	2.497
0.641	2.659
0.459	2.644
0.319	2.792
0.712	2.351
0.681	2.611
0.564	2.796
0.644	2.622
0.528	2.473
0.645	2.351
0.643	2.359
0.589	2.436
0.601	2.449
0.715	2.481
0.722	2.073
0.503	2.511
0.32	2.711
0.311	2.714
0.347	2.645
0.685	2.31
0.657	2.342
0.615	2.38
0.55	2.475
0.517	2.769
0.727	2.285
0.74	2.47
0.571	2.416
0.647	2.34
0.645	2.35
0.355	2.636
0.578	2.474
0.745	2.475
0.745	2.459
0.668	2.309
0.705	2.292
