1.569	1.202
1.124	0.193
1.121	0.194
0.93	0.386
0.917	0.425
1.264	0.247
1.287	0.224
1.213	0.209
1.153	0.219
1.111	0.23
1.363	0.263
0.988	0.417
0.846	0.367
1.225	0.269
1.234	0.282
1.145	0.215
1.145	0.215
1.211	0.208
1.237	0.208
1.109	0.174
1.22	0.235
1.205	0.206
0.93	0.171
0.931	0.183
1.115	0.183
1.113	0.2
1.118	0.211
1.119	0.212
1.119	0.212
1.108	0.174
1.157	0.235
1.135	0.216
1.126	0.191
1.12	0.214
1.133	0.224
1.162	0.231
1.32	0.246
1.268	0.265
1.233	0.278
1.187	0.235
1.116	0.22
1.14	0.225
1.108	0.192
1.204	0.218
1.317	0.332
