0.713	2.276
0.584	2.541
0.554	2.367
0.497	2.582
0.531	2.626
0.556	2.67
0.458	2.829
0.464	2.691
0.629	2.428
0.617	2.308
0.586	2.313
0.798	2.162
0.988	2.204
0.994	2.094
0.777	2.194
0.919	2.285
0.971	2.401
0.647	2.448
0.63	2.56
0.647	2.52
0.612	2.519
0.597	2.565
0.62	2.556
0.68	2.535
0.551	2.485
0.546	2.657
0.578	2.696
0.605	2.574
0.6	2.539
0.678	2.552
0.689	2.707
0.563	2.503
0.554	2.526
0.735	2.323
0.965	2.34
0.697	2.488
0.644	2.476
0.599	2.447
0.977	2.476
0.678	2.545
0.93	2.811
0.745	2.399
0.79	2.333
0.763	2.322
0.943	2.193
