1.207	2.831
1.492	3.437
1.097	3.428
1.046	3.475
1.041	3.477
0.975	3.442
1.235	3.515
1.458	3.499
1.483	3.528
1.46	3.536
1.464	3.473
0.921	3.547
1.098	3.78
1.035	3.747
1.476	3.51
1.495	3.493
1.022	3.5
0.956	3.793
1.177	3.779
1.182	3.78
0.971	3.538
0.973	3.501
1.506	3.513
1.496	3.523
1.479	3.554
1.067	3.817
0.883	3.619
1.178	3.761
1.172	3.76
0.965	3.517
1.004	3.468
1.004	3.482
1.464	3.505
1.451	3.522
1.456	3.464
0.976	3.524
0.952	3.543
1.435	3.508
1.443	3.515
1.004	3.43
1.455	3.432
1.511	3.447
0.984	3.489
0.937	3.531
1.481	3.489
