1.519	0.795
1.314	1.23
1.329	1.175
1.279	1.195
1.356	1.174
1.481	1.178
1.457	0.557
1.292	1.184
1.292	1.227
1.294	1.204
1.274	1.143
1.235	1.188
1.259	1.212
1.276	1.161
1.261	1.2
1.43	1.195
1.249	1.152
1.433	1.179
1.271	1.165
1.476	1.353
1.514	1.998
1.465	1.922
1.297	1.194
1.264	1.288
1.262	1.225
1.291	1.223
1.289	1.236
1.448	1.198
1.247	1.146
1.664	1.341
1.541	1.116
1.494	0.494
1.3	1.162
1.501	1.23
1.51	1.207
1.221	1.27
1.538	0.954
1.525	0.525
1.246	1.096
1.532	0.535
1.284	0.934
1.223	1.261
1.266	1.273
1.262	1.127
1.473	1.13
